0.00632	0.538	6.575	24
0.02731	0.469	6.421	21.6
0.02729	0.469	7.185	34.7
0.03237	0.458	6.998	33.4
0.06905	0.458	7.147	36.2
0.02985	0.458	6.43	28.7
0.08829	0.524	6.012	22.9
0.14455	0.524	6.172	27.1
0.21124	0.524	5.631	16.5
0.17004	0.524	6.004	18.9
0.22489	0.524	6.377	15
0.11747	0.524	6.009	18.9
0.09378	0.524	5.889	21.7
0.62976	0.538	5.949	20.4
0.63796	0.538	6.096	18.2
0.62739	0.538	5.834	19.9
1.05393	0.538	5.935	23.1
0.7842	0.538	5.99	17.5
0.80271	0.538	5.456	20.2
0.7258	0.538	5.727	18.2
1.25179	0.538	5.57	13.6
0.85204	0.538	5.965	19.6
1.23247	0.538	6.142	15.2
0.98843	0.538	5.813	14.5
0.75026	0.538	5.924	15.6
0.84054	0.538	5.599	13.9
0.67191	0.538	5.813	16.6
0.95577	0.538	6.047	14.8
0.77299	0.538	6.495	18.4
1.00245	0.538	6.674	21
1.13081	0.538	5.713	12.7
1.35472	0.538	6.072	14.5
1.38799	0.538	5.95	13.2
1.15172	0.538	5.701	13.1
1.61282	0.538	6.096	13.5
0.06417	0.499	5.933	18.9
0.09744	0.499	5.841	20
0.08014	0.499	5.85	21
0.17505	0.499	5.966	24.7
0.02763	0.428	6.595	30.8
0.03359	0.428	7.024	34.9
0.12744	0.448	6.77	26.6
0.1415	0.448	6.169	25.3
0.15936	0.448	6.211	24.7
0.12269	0.448	6.069	21.2
0.17142	0.448	5.682	19.3
0.18836	0.448	5.786	20
0.08873	0.439	5.963	19.7
0.04337	0.439	6.115	20.5
0.0536	0.439	6.511	25
0.04981	0.439	5.998	23.4
0.0136	0.41	5.888	18.9
0.01311	0.403	7.249	35.4
0.02055	0.41	6.383	24.7
0.01432	0.411	6.816	31.6
0.15445	0.453	6.145	23.3
0.10328	0.453	5.927	19.6
0.03551	0.426	6.167	22.9
0.05059	0.449	6.389	23.9
0.05735	0.449	6.63	26.6
0.05188	0.449	6.015	22.5
0.07151	0.449	6.121	22.2
0.0566	0.489	7.007	23.6
0.05302	0.489	7.079	28.7
0.04684	0.489	6.417	22.6
0.03932	0.489	6.405	22
0.04203	0.464	6.442	22.9
0.02875	0.464	6.211	25
0.04294	0.464	6.249	20.6
0.12204	0.445	6.625	28.4
0.11504	0.445	6.163	21.4
0.12083	0.445	8.069	38.7
0.08187	0.445	7.82	43.8
0.0686	0.445	7.416	33.2
0.14866	0.52	6.727	27.5
0.11432	0.52	6.781	26.5
0.22876	0.52	6.405	18.6
0.21161	0.52	6.137	19.3
0.1396	0.52	6.167	20.1
0.13262	0.52	5.851	19.5
0.1712	0.52	5.836	19.5
0.13117	0.52	6.127	20.4
0.12802	0.52	6.474	19.8
0.26363	0.52	6.229	19.4
0.10793	0.52	6.195	21.7
0.10084	0.547	6.715	22.8
0.12329	0.547	5.913	18.8
0.22212	0.547	6.092	18.7
0.14231	0.547	6.254	18.5
0.17134	0.547	5.928	18.3
0.13158	0.547	6.176	21.2
0.15098	0.547	6.021	19.2
0.13058	0.547	5.872	20.4
0.14476	0.547	5.731	19.3
0.06899	0.581	5.87	22
0.07165	0.581	6.004	20.3
0.09299	0.581	5.961	20.5
0.15038	0.581	5.856	17.3
0.09849	0.581	5.879	18.8
0.16902	0.581	5.986	21.4
0.38735	0.581	5.613	15.7
0.25915	0.624	5.693	16.2
0.32543	0.624	6.431	18
0.88125	0.624	5.637	14.3
0.34006	0.624	6.458	19.2
1.19294	0.624	6.326	19.6
0.59005	0.624	6.372	23
0.32982	0.624	5.822	18.4
0.97617	0.624	5.757	15.6
0.55778	0.624	6.335	18.1
0.32264	0.624	5.942	17.4
0.35233	0.624	6.454	17.1
0.2498	0.624	5.857	13.3
0.54452	0.624	6.151	17.8
0.2909	0.624	6.174	14
1.62864	0.624	5.019	14.4
3.32105	0.871	5.403	13.4
4.0974	0.871	5.468	15.6
2.77974	0.871	4.903	11.8
2.37934	0.871	6.13	13.8
2.15505	0.871	5.628	15.6
2.36862	0.871	4.926	14.6
2.33099	0.871	5.186	17.8
2.73397	0.871	5.597	15.4
1.6566	0.871	6.122	21.5
1.49632	0.871	5.404	19.6
1.12658	0.871	5.012	15.3
2.14918	0.871	5.709	19.4
1.41385	0.871	6.129	17
3.53501	0.871	6.152	15.6
2.44668	0.871	5.272	13.1
1.22358	0.605	6.943	41.3
1.34284	0.605	6.066	24.3
1.42502	0.871	6.51	23.3
1.80028	0.605	5.877	23.8
2.3004	0.605	6.319	23.8
2.44953	0.605	6.402	22.3
1.20742	0.605	5.875	17.4
2.3139	0.605	5.88	19.1
0.13914	0.51	5.572	23.1
0.09178	0.51	6.416	23.6
0.08447	0.51	5.859	22.6
0.06664	0.51	6.546	29.4
0.07022	0.51	6.02	23.2
0.05425	0.51	6.315	24.6
0.06642	0.51	6.86	29.9
0.0578	0.488	6.98	37.2
0.06588	0.488	7.765	39.8
0.06888	0.488	6.144	36.2
0.09103	0.488	7.155	37.9
0.10008	0.488	6.563	32.5
0.08308	0.488	5.604	26.4
0.06047	0.488	6.153	29.6
0.05602	0.488	7.831	50
0.07875	0.437	6.782	32
0.12579	0.437	6.556	29.8
0.0837	0.437	7.185	34.9
0.09068	0.437	6.951	37
0.06911	0.437	6.739	30.5
0.08664	0.437	7.178	36.4
0.02187	0.401	6.8	31.1
0.01439	0.401	6.604	29.1
0.01381	0.422	7.875	50
0.04011	0.404	7.287	33.3
0.04666	0.404	7.107	30.3
0.03768	0.404	7.274	34.6
0.0315	0.403	6.975	34.9
0.01778	0.403	7.135	32.9
0.03445	0.415	6.162	24.1
0.02177	0.415	7.61	42.3
0.0351	0.4161	7.853	48.5
0.02009	0.4161	8.034	50
0.13642	0.489	5.891	22.6
0.22969	0.489	6.326	24.4
0.25199	0.489	5.783	22.5
0.13587	0.489	6.064	24.4
0.43571	0.489	5.344	20
0.17446	0.489	5.96	21.7
0.37578	0.489	5.404	19.3
0.21719	0.489	5.807	22.4
0.14052	0.489	6.375	28.1
0.28955	0.489	5.412	23.7
0.19802	0.489	6.182	25
0.0456	0.55	5.888	23.3
0.07013	0.55	6.642	28.7
0.11069	0.55	5.951	21.5
0.11425	0.55	6.373	23
0.35809	0.507	6.951	26.7
0.40771	0.507	6.164	21.7
0.62356	0.507	6.879	27.5
0.6147	0.507	6.618	30.1
0.31533	0.504	8.266	44.8
0.52693	0.504	8.725	50
0.38214	0.504	8.04	37.6
0.41238	0.504	7.163	31.6
0.29819	0.504	7.686	46.7
0.44178	0.504	6.552	31.5
0.537	0.504	5.981	24.3
0.46296	0.504	7.412	31.7
0.57529	0.507	8.337	41.7
0.33147	0.507	8.247	48.3
0.44791	0.507	6.726	29
0.33045	0.507	6.086	24
0.52058	0.507	6.631	25.1
0.51183	0.507	7.358	31.5
0.08244	0.428	6.481	23.7
0.09252	0.428	6.606	23.3
0.11329	0.428	6.897	22
0.10612	0.428	6.095	20.1
0.1029	0.428	6.358	22.2
0.12757	0.428	6.393	23.7
0.20608	0.431	5.593	17.6
0.19133	0.431	5.605	18.5
0.33983	0.431	6.108	24.3
0.19657	0.431	6.226	20.5
0.16439	0.431	6.433	24.5
0.19073	0.431	6.718	26.2
0.1403	0.431	6.487	24.4
0.21409	0.431	6.438	24.8
0.08221	0.431	6.957	29.6
0.36894	0.431	8.259	42.8
0.04819	0.392	6.108	21.9
0.03548	0.392	5.876	20.9
0.01538	0.394	7.454	44
0.61154	0.647	8.704	50
0.66351	0.647	7.333	36
0.65665	0.647	6.842	30.1
0.54011	0.647	7.203	33.8
0.53412	0.647	7.52	43.1
0.52014	0.647	8.398	48.8
0.82526	0.647	7.327	31
0.55007	0.647	7.206	36.5
0.76162	0.647	5.56	22.8
0.7857	0.647	7.014	30.7
0.57834	0.575	8.297	50
0.5405	0.575	7.47	43.5
0.09065	0.464	5.92	20.7
0.29916	0.464	5.856	21.1
0.16211	0.464	6.24	25.2
0.1146	0.464	6.538	24.4
0.22188	0.464	7.691	35.2
0.05644	0.447	6.758	32.4
0.09604	0.447	6.854	32
0.10469	0.447	7.267	33.2
0.06127	0.447	6.826	33.1
0.07978	0.447	6.482	29.1
0.21038	0.4429	6.812	35.1
0.03578	0.4429	7.82	45.4
0.03705	0.4429	6.968	35.4
0.06129	0.4429	7.645	46
0.01501	0.401	7.923	50
0.00906	0.4	7.088	32.2
0.01096	0.389	6.453	22
0.01965	0.385	6.23	20.1
0.03871	0.405	6.209	23.2
0.0459	0.405	6.315	22.3
0.04297	0.405	6.565	24.8
0.03502	0.411	6.861	28.5
0.07886	0.411	7.148	37.3
0.03615	0.411	6.63	27.9
0.08265	0.437	6.127	23.9
0.08199	0.437	6.009	21.7
0.12932	0.437	6.678	28.6
0.05372	0.437	6.549	27.1
0.14103	0.437	5.79	20.3
0.06466	0.4	6.345	22.5
0.05561	0.4	7.041	29
0.04417	0.4	6.871	24.8
0.03537	0.433	6.59	22
0.09266	0.433	6.495	26.4
0.1	0.433	6.982	33.1
0.05515	0.472	7.236	36.1
0.05479	0.472	6.616	28.4
0.07503	0.472	7.42	33.4
0.04932	0.472	6.849	28.2
0.49298	0.544	6.635	22.8
0.3494	0.544	5.972	20.3
2.63548	0.544	4.973	16.1
0.79041	0.544	6.122	22.1
0.26169	0.544	6.023	19.4
0.26938	0.544	6.266	21.6
0.3692	0.544	6.567	23.8
0.25356	0.544	5.705	16.2
0.31827	0.544	5.914	17.8
0.24522	0.544	5.782	19.8
0.40202	0.544	6.382	23.1
0.47547	0.544	6.113	21
0.1676	0.493	6.426	23.8
0.18159	0.493	6.376	23.1
0.35114	0.493	6.041	20.4
0.28392	0.493	5.708	18.5
0.34109	0.493	6.415	25
0.19186	0.493	6.431	24.6
0.30347	0.493	6.312	23
0.24103	0.493	6.083	22.2
0.06617	0.46	5.868	19.3
0.06724	0.46	6.333	22.6
0.04544	0.46	6.144	19.8
0.05023	0.4379	5.706	17.1
0.03466	0.4379	6.031	19.4
0.05083	0.515	6.316	22.2
0.03738	0.515	6.31	20.7
0.03961	0.515	6.037	21.1
0.03427	0.515	5.869	19.5
0.03041	0.515	5.895	18.5
0.03306	0.515	6.059	20.6
0.05497	0.515	5.985	19
0.06151	0.515	5.968	18.7
0.01301	0.442	7.241	32.7
0.02498	0.518	6.54	16.5
0.02543	0.484	6.696	23.9
0.03049	0.484	6.874	31.2
0.03113	0.442	6.014	17.5
0.06162	0.442	5.898	17.2
0.0187	0.429	6.516	23.1
0.01501	0.435	6.635	24.5
0.02899	0.429	6.939	26.6
0.06211	0.429	6.49	22.9
0.0795	0.411	6.579	24.1
0.07244	0.411	5.884	18.6
0.01709	0.41	6.728	30.1
0.04301	0.413	5.663	18.2
0.10659	0.413	5.936	20.6
8.98296	0.77	6.212	17.8
3.8497	0.77	6.395	21.7
5.20177	0.77	6.127	22.7
4.26131	0.77	6.112	22.6
4.54192	0.77	6.398	25
3.83684	0.77	6.251	19.9
3.67822	0.77	5.362	20.8
4.22239	0.77	5.803	16.8
3.47428	0.718	8.78	21.9
4.55587	0.718	3.561	27.5
3.69695	0.718	4.963	21.9
13.5222	0.631	3.863	23.1
4.89822	0.631	4.97	50
5.66998	0.631	6.683	50
6.53876	0.631	7.016	50
9.2323	0.631	6.216	50
8.26725	0.668	5.875	50
11.1081	0.668	4.906	13.8
18.4982	0.668	4.138	13.8
19.6091	0.671	7.313	15
15.288	0.671	6.649	13.9
9.82349	0.671	6.794	13.3
23.6482	0.671	6.38	13.1
17.8667	0.671	6.223	10.2
88.9762	0.671	6.968	10.4
15.8744	0.671	6.545	10.9
9.18702	0.7	5.536	11.3
7.99248	0.7	5.52	12.3
20.0849	0.7	4.368	8.8
16.8118	0.7	5.277	7.2
24.3938	0.7	4.652	10.5
